title,year,first_author,citations,journal,url,search_page
[HTML][HTML] Machine learning applications in cancer prognosis and prediction,2015,K Kourou,2669,Elsevier,"=HYPERLINK(""https://www.sciencedirect.com/science/article/pii/S2001037014000464"", ""link"")",3
[PDF][PDF] Applications of machine learning in cancer prediction and prognosis,2006,JA Cruz,1408,journals,"=HYPERLINK(""https://journals.sagepub.com/doi/pdf/10.1177/117693510600200030"", ""link"")",1
[BOOK][B] What is machine learning?,2015,I El Naqa,826,Springer,"=HYPERLINK(""https://link.springer.com/chapter/10.1007/978-3-319-18305-3_1"", ""link"")",1
Deep learning for image-based cancer detection and diagnosis− A survey,2018,Z Hu,434,Elsevier,"=HYPERLINK(""https://www.sciencedirect.com/science/article/pii/S0031320318301845"", ""link"")",1
On breast cancer detection: an application of machine learning algorithms on the wisconsin diagnostic dataset,2018,AFM Agarap - … the 2nd international conference on machine learning …,226,dl,"=HYPERLINK(""https://arxiv.org/pdf/1711.07831.pdf&xid=17259,15700022,15700124,15700149,15700168,15700186,15700191,15700201,15700208"", ""link"")",1
[HTML][HTML] The application of deep learning in cancer prognosis prediction,2020,W Zhu,203,mdpi,"=HYPERLINK(""https://www.mdpi.com/2072-6694/12/3/603?trk=organization_guest_main-feed-card_feed-article-content"", ""link"")",2
Machine learning with applications in breast cancer diagnosis and prognosis,2018,W Yue,197,mdpi,"=HYPERLINK(""https://www.mdpi.com/2411-9660/2/2/13/pdf"", ""link"")",3
Deep learning technology for improving cancer care in society: New directions in cancer imaging driven by artificial intelligence,2020,M Coccia - Technology in Society,195,Elsevier,"=HYPERLINK(""https://www.researchgate.net/profile/Mario-Coccia/publication/336759665_Deep_learning_technology_for_improving_cancer_care_in_society_New_directions_in_cancer_imaging_driven_by_artificial_intelligence/links/5e537c8092851c7f7f551b07/Deep-learning-technology-for-improving-cancer-care-in-society-New-directions-in-cancer-imaging-driven-by-artificial-intelligence.pdf"", ""link"")",3
Application of machine learning in disease prediction,2018,PS Kohli,166,ieeexplore,"=HYPERLINK(""https://ieeexplore.ieee.org/abstract/document/8777449/"", ""link"")",3
"[HTML][HTML] Deep learning in cancer diagnosis, prognosis and treatment selection",2021,KA Tran,164,…,"=HYPERLINK(""https://genomemedicine.biomedcentral.com/articles/10.1186/s13073-021-00968-x"", ""link"")",1
Designing deep learning studies in cancer diagnostics,2021,A Kleppe,151,nature,"=HYPERLINK(""https://www.duo.uio.no/bitstream/handle/10852/92967/NRC_perspective_v33_with_figures.pdf?sequence=1"", ""link"")",2
"Applications of machine learning and high‐dimensional visualization in cancer detection, diagnosis, and management",2004,JF Mccarthy,148,Library,"=HYPERLINK(""https://nyaspubs.onlinelibrary.wiley.com/doi/abs/10.1196/annals.1310.020"", ""link"")",1
[HTML][HTML] Skin cancer detection: Applying a deep learning based model driven architecture in the cloud for classifying dermal cell images,2020,MA Kadampur,146,Elsevier,"=HYPERLINK(""https://www.sciencedirect.com/science/article/pii/S2352914819302047"", ""link"")",1
Deep learning for lung Cancer detection and classification,2020,A Asuntha,140,Springer,"=HYPERLINK(""https://link.springer.com/article/10.1007/s11042-019-08394-3"", ""link"")",2
Deep reinforcement learning with its application for lung cancer detection in medical Internet of Things,2019,Z Liu,120,Elsevier,"=HYPERLINK(""https://www.sciencedirect.com/science/article/pii/S0167739X19303772"", ""link"")",1
