title,year,first_author,citations,journal,url_to_article
A review of explainable deep learning cancer detection models in medical imaging,2021,MA Gulum,57,mdpi.com,https://www.mdpi.com/2076-3417/11/10/4573/pdf
Applications and limitations of machine learning in radiation oncology,2019,D Jarrett,124,birpublications.org,https://www.birpublications.org/doi/pdf/10.1259/bjr.20190001
[HTML][HTML] Machine learning applications in radiation oncology,2021,M Field,36,Elsevier,https://www.sciencedirect.com/science/article/pii/S2405631621000300
A deep learning approach for cancer detection and relevant gene identification,2017,P Danaee,325,Scientific,https://www.worldscientific.com/doi/pdf/10.1142/9789813207813_0022
[HTML][HTML] Breast cancer detection by leveraging Machine Learning,2020,AR Vaka,130,Elsevier,https://www.sciencedirect.com/science/article/pii/S2405959520300801
Breast cancer detection using machine learning algorithms,2018,S Sharma,148,ieeexplore.ieee.org,https://ijaem.net/issue_dcp/Breast%20Cancer%20Detection%20Using%20Machine%20Learning%20Algorithms.pdf
Deep learning for lung Cancer detection and classification,2020,A Asuntha,138,Springer,https://link.springer.com/article/10.1007/s11042-019-08394-3
Analysis of breast cancer detection using different machine learning techniques,2020,SA Mohammed,92,Springer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7351679/
Deep learning for image-based cancer detection and diagnosis− A survey,2018,Z Hu,433,Elsevier,https://www.sciencedirect.com/science/article/pii/S0031320318301845
Deep learning in breast cancer detection and classification,2020,G Hamed,75,Springer,https://www.researchgate.net/profile/Ghada-Hamed/publication/340097205_Deep_Learning_in_Breast_Cancer_Detection_and_Classification/links/5eb4cf3392851cd50da13009/Deep-Learning-in-Breast-Cancer-Detection-and-Classification.pdf
"[HTML][HTML] Machine learning in radiation oncology: opportunities, requirements, and needs",2018,M Feng,96,frontiersin.org,https://www.frontiersin.org/articles/10.3389/fonc.2018.00110/full
Skin cancer detection: a review using deep learning techniques,2021,M Dildar,137,mdpi.com,https://www.mdpi.com/1660-4601/18/10/5479/pdf
Big data and machine learning in radiation oncology: state of the art and future prospects,2016,JE Bibault,293,Elsevier,http://www.ttcenter.ir/ArticleFiles/ENARTICLE/3754.pdf
[HTML][HTML] Deep learning to improve breast cancer detection on screening mammography,2019,L Shen,663,nature.com,https://www.nature.com/articles/s41598-019-48995-4
Lung cancer detection: a deep learning approach,2019,S Bhatia,112,Springer,https://www.comp.nus.edu.sg/~sbhatia/assets/pdf/bhatia2017lung.pdf
Breast cancer detection based on deep learning technique,2019,NS Ismail,51,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8861256/
On breast cancer detection: an application of machine learning algorithms on the wisconsin diagnostic dataset,2018,AFM Agarap - … the 2nd international conference on machine learning …,223,dl.acm.org,"https://arxiv.org/pdf/1711.07831.pdf&xid=17259,15700022,15700124,15700149,15700168,15700186,15700191,15700201,15700208"
[HTML][HTML] A novel hybrid deep learning model for metastatic cancer detection,2022,S Ahmad,28,hindawi.com,https://www.hindawi.com/journals/cin/2022/8141530/
Deep learning solutions for skin cancer detection and diagnosis,2020,H Nahata,93,Springer,https://www.researchgate.net/profile/Satya-Singh-16/publication/339804392_Deep_Learning_Solutions_for_Skin_Cancer_Detection_and_Diagnosis/links/5ea16572299bf14389406872/Deep-Learning-Solutions-for-Skin-Cancer-Detection-and-Diagnosis.pdf
Application of deep learning to pancreatic cancer detection: lessons learned from our initial experience,2019,LC Chu,61,jacr.org,https://www.jacr.org/article/S1546-1440(19)30631-3/abstract
A comparative study of lung cancer detection using machine learning algorithms,2019,PR Radhika,73,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8869001/
Prostate cancer detection using deep learning and traditional techniques,2021,S Iqbal,40,ieeexplore.ieee.org,https://ieeexplore.ieee.org/iel7/6287639/9312710/09349466.pdf
"[HTML][HTML] Recent advancement in cancer detection using machine learning: Systematic survey of decades, comparisons and challenges",2020,T Saba - Journal of Infection and Public Health,184,Elsevier,https://www.sciencedirect.com/science/article/pii/S1876034120305633
[HTML][HTML] Machine learning assisted cervical cancer detection,2021,M Mehmood,23,frontiersin.org,https://www.frontiersin.org/articles/10.3389/fpubh.2021.788376/full
[HTML][HTML] Breast cancer detection using infrared thermal imaging and a deep learning model,2018,SJ Mambou,193,mdpi.com,https://www.mdpi.com/331524
A comparative analysis of breast cancer detection and diagnosis using data visualization and machine learning applications,2020,MF Ak - Healthcare,109,mdpi.com,https://www.mdpi.com/2227-9032/8/2/111/pdf
Breast cancer detection using an ensemble deep learning method,2021,A Das,39,Elsevier,https://www.sciencedirect.com/science/article/pii/S1746809421006066
[HTML][HTML] Clinically applicable histopathological diagnosis system for gastric cancer detection using deep learning,2020,Z Song,156,nature.com,https://www.nature.com/articles/s41467-020-18147-8
Medical Internet of things using machine learning algorithms for lung cancer detection,2020,K Pradhan,82,Francis,https://www.tandfonline.com/doi/abs/10.1080/23270012.2020.1811789
Skin cancer detection using machine learning techniques,2020,M Vidya,61,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9198489/
